Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.17,-0.52,0.82,20.09,44.52,-25.62
-0.17,-0.49,0.81,13.58,47.53,-22.89
-0.14,-0.48,0.84,16.87,49.28,-20.79
-0.16,-0.46,0.86,28.56,43.82,-17.29
-0.14,-0.43,0.89,40.04,33.67,-11.97
-0.12,-0.41,0.91,51.10,22.89,-7.63
-0.12,-0.39,0.91,59.71,14.98,0.42
-0.03,-0.42,0.91,63.63,13.58,22.12
-0.07,-0.35,0.86,64.82,12.46,33.46
-0.18,-0.28,0.82,62.16,7.35,30.59
-0.10,-0.31,0.83,51.73,7.77,33.11
-0.09,-0.30,0.87,46.48,20.79,34.02
-0.16,-0.26,0.88,43.54,35.07,35.21
-0.16,-0.30,0.90,34.44,46.97,27.86
-0.06,-0.35,0.96,21.63,73.64,43.33
-0.14,-0.34,0.96,13.58,93.10,49.49
-0.27,-0.30,0.94,21.77,100.17,45.43
-0.28,-0.31,0.96,31.71,83.30,36.33
-0.23,-0.31,1.02,57.40,67.13,33.95
-0.27,-0.28,1.00,95.55,43.82,30.80
-0.29,-0.26,0.98,124.60,28.14,30.45
-0.28,-0.27,0.96,131.95,16.87,44.10
-0.34,-0.23,0.95,118.65,12.53,52.01
-0.35,-0.22,0.94,100.24,16.45,56.28
-0.42,-0.23,0.90,83.86,7.91,46.06
-0.38,-0.28,0.91,76.51,-6.65,43.05
-0.36,-0.27,0.91,79.24,-14.28,40.25
-1.52,-0.79,1.25,205.59,-167.30,-8.75
-0.60,-0.23,1.02,111.86,-116.20,6.51
-0.38,-0.27,1.02,104.44,-96.46,-1.40
-0.29,-0.20,1.00,104.86,-77.70,-8.40
-0.31,-0.15,1.03,105.28,-61.53,-11.97
-0.27,-0.13,1.04,109.20,-49.84,-18.27
-0.29,-0.09,1.04,101.22,-44.80,-19.11
-0.32,0.00,1.06,59.92,-56.91,-17.78
-0.26,-0.10,1.04,36.96,-53.97,-13.16
-0.21,-0.10,0.88,36.89,-50.61,-14.00
-0.24,-0.08,0.97,31.50,-51.17,-14.14
-0.23,-0.10,0.96,28.07,-54.67,-14.28
-0.22,-0.10,0.97,25.48,-56.21,-14.84
-0.18,-0.09,1.09,19.39,-52.50,-13.30
-0.16,-0.12,1.15,5.18,-41.79,-2.87
-0.17,-0.09,1.10,6.02,-22.54,2.10
-0.18,-0.07,0.94,8.05,-19.88,6.16
-0.25,0.05,0.39,38.08,-57.82,-9.31
-0.21,0.02,0.65,50.12,-110.95,-21.98
-0.06,-0.02,0.90,48.23,-130.41,-15.40
-0.02,-0.01,1.02,35.70,-136.64,2.94
0.00,-0.05,1.06,29.40,-132.72,14.84
0.00,-0.08,1.02,48.16,-124.32,23.73
-0.07,0.02,0.97,52.92,-123.41,22.12
-0.05,0.04,1.04,40.81,-129.43,15.75
0.03,-0.01,1.09,42.00,-118.02,12.53
-0.30,0.71,0.98,54.81,-17.01,2.52
0.24,-0.13,0.96,2.24,-6.37,18.97
-0.20,0.02,1.08,5.46,-4.97,17.22
0.00,0.05,0.98,4.27,2.31,11.41
-0.06,0.05,1.03,-0.35,-2.03,7.42
-0.05,0.10,1.02,-2.38,1.75,-6.72
-0.01,0.02,1.02,-5.18,0.21,-8.61
-0.01,0.11,1.01,-1.89,-0.63,-10.85
0.01,0.02,1.02,0.98,0.00,-8.61
0.04,0.03,1.03,1.12,1.12,-4.06
0.01,0.03,1.02,0.49,0.14,-1.40
0.01,0.02,1.02,1.05,-0.42,-1.75
0.01,0.02,1.01,0.98,17.78,-2.03
0.00,0.01,1.01,1.19,-0.14,-1.96
0.00,0.01,1.01,1.12,-0.28,-1.75
0.01,0.02,1.01,1.19,-0.21,-2.03
0.01,0.02,1.01,1.05,0.14,-1.75
0.01,0.02,1.01,1.12,-0.35,-1.82
0.00,0.01,1.02,1.19,-0.35,-1.82
0.00,0.01,1.02,1.40,-0.98,-2.10
0.01,0.01,1.02,1.12,0.07,-2.10
0.00,0.02,1.02,1.12,-0.49,-2.03
0.01,0.02,1.01,1.12,-0.07,-1.96
0.00,0.02,1.01,1.19,0.28,-2.17
0.01,0.01,1.01,1.05,-0.07,-2.03
0.01,0.02,1.01,1.12,0.00,-2.10
0.01,0.01,1.02,1.12,-0.21,-2.03
0.01,0.02,1.02,1.19,-0.21,-1.89
0.01,0.02,1.02,1.19,0.28,-2.24
0.01,0.02,1.02,1.19,-0.21,-1.96
0.01,0.02,1.01,1.26,-0.63,-2.03
0.01,0.01,1.01,1.12,-0.14,-2.24
0.00,0.01,1.01,1.40,0.21,-2.03
0.01,0.02,1.02,1.26,0.14,-2.10
0.01,0.02,1.01,1.05,-0.07,-1.61
0.01,0.01,1.02,1.12,-0.42,-1.68
0.00,0.02,1.02,1.05,0.00,-1.54
0.01,0.02,1.02,1.26,0.35,-1.89
0.01,0.02,1.02,0.98,-0.07,-1.61
0.01,0.01,1.01,1.05,0.21,-1.40
0.01,0.02,1.02,1.12,0.00,-1.33
0.00,0.02,1.01,1.19,-0.21,-1.61
0.01,0.02,1.01,1.19,-0.49,-1.61
0.00,0.02,1.02,1.12,-0.14,-1.19
0.01,0.02,1.02,1.12,0.07,-1.61
0.00,0.02,1.02,1.12,0.07,-1.54
0.01,0.01,1.01,1.19,-0.28,-1.54
0.01,0.02,1.01,1.12,0.00,-1.61
0.01,0.02,1.01,1.19,-0.07,-1.61
0.01,0.02,1.01,1.12,-0.14,-1.61
0.01,0.02,1.01,1.19,-0.07,-1.54
0.00,0.01,1.01,1.12,-0.21,-1.40
0.01,0.01,1.02,1.19,0.28,-1.61
0.00,0.02,1.02,1.19,-0.21,-1.82
0.00,0.02,1.02,1.26,-0.14,-1.89
0.01,0.02,1.01,1.05,0.35,-1.54
0.01,0.02,1.01,1.19,-0.28,-1.54
0.01,0.01,1.02,1.19,0.00,-1.82
0.01,0.02,1.01,1.26,-0.49,-1.61
0.01,0.02,1.02,1.33,0.07,-1.47
0.01,0.02,1.02,1.19,0.14,-1.54
0.00,0.01,1.02,1.19,0.21,-1.40
0.01,0.02,1.01,1.26,0.00,-1.54
0.01,0.01,1.02,1.19,-0.21,-1.82
0.01,0.02,1.02,1.26,-0.35,-1.33
0.01,0.02,1.01,1.05,-0.07,-1.61
0.00,0.02,1.02,1.12,0.49,-1.82
0.01,0.01,1.01,1.05,-0.07,-2.17
0.00,0.02,1.01,1.26,-0.07,-1.47
0.00,0.02,1.01,1.19,-0.21,-1.40
0.00,0.02,1.01,1.12,0.35,-1.75
0.00,0.02,1.02,1.12,-0.35,-1.75
0.01,0.02,1.02,1.12,0.14,-1.68
0.00,0.02,1.02,1.12,-0.42,-1.33
0.01,0.02,1.02,1.19,-0.21,-1.68
0.01,0.02,1.02,1.19,0.35,-1.96
0.01,0.01,1.01,1.12,0.00,-1.75
0.01,0.02,1.01,1.26,0.42,-2.03
0.01,0.02,1.01,1.26,-0.42,-1.33
0.01,0.02,1.01,1.19,0.00,-1.75
0.01,0.02,1.02,1.26,-0.21,-1.82
0.01,0.02,1.02,1.33,0.21,-2.10
0.01,0.01,1.02,1.33,0.35,-1.82
0.01,0.02,1.02,1.26,0.21,-1.89
0.01,0.01,1.01,1.26,-0.42,-2.10
0.01,0.02,1.01,1.19,0.07,-1.75
0.00,0.02,1.02,1.12,0.49,-1.82
0.00,0.02,1.02,1.19,0.21,-1.54
0.01,0.02,1.02,1.33,-0.63,-1.61
0.01,0.02,1.02,1.26,-0.14,-1.68
0.01,0.02,1.02,1.12,-0.21,-1.61
0.01,0.02,1.01,1.26,-0.28,-1.82
0.01,0.01,1.01,1.12,-0.14,-1.68
0.01,0.02,1.01,1.19,-0.49,-1.61
0.01,0.02,1.01,1.26,0.14,-1.47
0.01,0.01,1.01,1.19,0.56,-2.10
0.01,0.02,1.02,1.12,-0.07,-1.68
0.01,0.02,1.02,1.19,0.07,-1.54
0.01,0.01,1.02,1.19,-0.28,-1.47
0.01,0.02,1.02,1.12,0.00,-1.75
0.01,0.02,1.01,1.12,-0.14,-1.68
0.01,0.02,1.01,1.12,0.07,-1.89
0.01,0.02,1.02,1.26,-0.35,-1.40
0.01,0.02,1.02,1.19,-0.07,-1.61
0.01,0.01,1.02,1.12,-0.14,-1.47
0.00,0.02,1.02,1.26,-17.71,-1.61
0.01,0.02,1.02,1.26,0.14,-1.61
0.01,0.02,1.02,1.26,0.00,-1.82
0.01,0.02,1.02,1.19,0.42,-1.89
0.01,0.01,1.02,1.33,-0.42,-1.75
0.01,0.02,1.02,1.26,-0.42,-1.54
0.01,0.02,1.02,1.33,0.21,-1.61
0.00,0.02,1.02,1.33,-0.42,-1.75
0.01,0.01,1.02,1.47,-0.49,-1.61
0.01,0.01,1.02,1.40,-0.63,-1.54
0.01,0.01,1.02,1.47,-0.07,-1.47
0.01,0.02,1.01,1.33,-0.07,-1.68
0.00,0.02,1.02,1.54,0.63,-1.89
0.00,0.01,1.00,1.40,-0.35,-1.61
0.00,0.01,1.01,1.26,-0.63,-1.26
0.01,0.02,1.01,1.26,-0.49,-0.98
0.01,0.02,1.02,1.40,0.49,-1.33
0.01,0.02,1.02,1.40,-0.42,-1.33
0.00,0.02,1.01,1.19,0.42,-1.54
0.01,0.02,1.02,1.26,0.07,-1.68
0.01,0.02,1.02,1.26,0.07,-1.47
0.01,0.02,1.01,1.26,0.21,-2.03
0.01,0.02,1.01,1.19,0.21,-1.75
0.00,0.02,1.01,1.26,-0.21,-1.68
0.00,0.02,1.01,1.33,0.28,-1.96
0.01,0.01,1.01,1.12,-0.07,-1.96
0.01,0.01,1.01,1.26,-0.07,-1.54
0.01,0.02,1.02,1.33,-0.07,-1.68
0.01,0.02,1.02,1.19,-0.07,-1.47
0.00,0.02,1.01,1.19,-0.35,-1.68
0.01,0.02,1.01,1.19,-0.21,-1.75
0.00,0.01,1.01,1.26,17.64,-1.89
0.00,0.02,1.02,1.47,0.00,-1.89
0.01,0.01,1.01,1.47,-0.21,-1.68
0.00,0.02,1.02,1.26,0.21,-1.68
0.01,0.02,1.02,1.19,-0.07,-1.61
0.00,0.02,1.02,1.26,0.14,-1.75
0.01,0.02,1.02,1.26,-0.14,-1.75
0.00,0.02,1.01,1.19,0.28,-2.10
0.01,0.02,1.02,1.19,0.21,-2.10
0.01,0.02,1.01,1.05,0.00,-1.89
0.00,0.02,1.01,1.40,-0.07,-1.89
0.01,0.02,1.02,1.26,0.14,-1.61
0.01,0.02,1.02,1.33,-0.21,-1.68
0.01,0.02,1.02,1.26,-0.14,-1.89
0.01,0.02,1.01,1.26,-0.42,-1.82
0.01,0.02,1.01,1.19,0.14,-1.96
0.01,0.01,1.01,1.26,0.35,-2.17
0.01,0.02,1.01,1.40,-0.07,-1.96
0.01,0.02,1.01,1.47,-0.07,-2.24
0.01,0.01,1.01,1.26,0.00,-1.96
0.01,0.02,1.01,1.26,0.14,-2.24
0.01,0.02,1.01,1.47,-1.05,-4.90
-0.18,1.28,1.10,3.57,9.45,-92.05
-0.01,0.51,0.94,2.66,2.45,-146.72
0.07,0.22,1.12,-1.26,8.19,-143.85
0.03,0.38,1.00,-7.91,6.09,-155.68
-0.20,-0.05,0.95,8.05,1.47,-159.39
0.27,-0.45,1.05,-31.01,23.80,-129.15
-0.05,-0.63,1.21,-23.59,6.86,-44.80
-0.09,-0.24,1.06,-58.94,-2.38,-19.60
-0.21,0.05,1.15,-99.12,-1.40,-18.34
-0.21,-0.02,1.10,-116.06,-33.04,-24.85
-0.24,-0.07,1.12,-114.94,-35.14,-24.15
-0.14,0.23,1.07,-30.31,-66.64,-42.77
-0.11,0.25,1.35,-1.05,-42.84,-77.21
-0.15,0.15,1.14,-1.19,-15.12,-68.32
-0.18,0.10,1.10,14.91,-42.63,-62.44
-0.19,0.10,1.21,42.98,-60.83,-64.68
-0.21,0.11,1.18,68.11,-80.50,-69.23
-0.20,0.10,1.17,90.23,-99.05,-72.10
-0.17,0.08,1.17,99.47,-114.31,-68.74
-0.16,0.09,1.14,105.49,-122.64,-63.91
-0.15,0.07,1.08,109.20,-126.56,-62.65
-0.15,0.08,1.00,118.23,-129.50,-68.32
-0.12,0.00,0.97,118.58,-129.15,-65.80
-0.14,0.07,0.97,109.62,-121.94,-71.54
-0.11,0.06,0.93,105.56,-113.61,-78.19
-0.12,0.08,0.87,109.97,-115.43,-87.15
-0.06,0.08,0.88,114.59,-110.95,-99.75
-0.02,0.11,0.87,109.83,-101.36,-103.11
0.02,0.14,0.85,100.73,-93.45,-105.56
0.05,0.17,0.80,96.60,-89.04,-108.64
0.04,0.18,0.72,102.34,-90.16,-108.15
0.05,0.21,0.68,120.61,-97.58,-109.83
0.10,0.31,0.69,143.01,-105.21,-116.20
0.11,0.41,0.64,166.11,-112.21,-127.89
0.20,0.49,0.73,170.59,-112.84,-134.47
0.23,0.54,0.74,160.02,-104.65,-135.59
0.21,0.54,0.65,152.46,-103.04,-133.49
0.25,0.58,0.63,145.60,-104.93,-132.58
0.25,0.61,0.59,133.56,-106.82,-131.74
0.26,0.68,0.55,122.64,-119.14,-135.45
0.30,0.68,0.56,124.67,-126.70,-141.19
0.29,0.71,0.48,129.57,-134.26,-145.53
0.31,0.75,0.43,127.96,-144.55,-149.31
0.36,0.80,0.58,107.31,-145.60,-155.19
0.27,0.77,0.28,110.32,-171.36,-165.48
0.31,0.88,0.24,125.02,-198.38,-182.56
0.37,0.77,0.39,122.29,-202.02,-188.37
0.43,0.74,0.41,118.23,-196.63,-178.22
0.48,0.75,0.39,122.92,-194.67,-167.16
0.47,0.79,0.33,118.09,-194.04,-156.10
0.50,0.84,0.32,120.33,-193.62,-145.25
0.53,0.85,0.36,124.88,-189.98,-141.33
0.51,0.84,0.36,138.39,-189.42,-135.10
0.48,0.89,0.31,146.23,-195.72,-133.28
0.50,0.92,0.32,151.41,-204.12,-133.49
0.48,0.96,0.29,155.26,-205.94,-136.43
0.45,0.93,0.23,159.74,-206.85,-139.93
0.44,0.88,0.23,168.63,-204.26,-142.10
0.42,0.80,0.22,181.30,-190.89,-138.81
0.37,0.74,0.14,202.51,-178.36,-128.31
0.38,0.72,0.09,207.55,-170.31,-106.54
0.43,0.73,0.07,208.25,-148.82,-87.71
0.53,0.82,0.06,202.79,-105.14,-82.11
0.75,0.83,0.12,182.14,-33.25,-87.22
0.76,0.76,-0.12,154.35,8.89,-105.42
0.72,0.64,-0.26,142.10,24.99,-106.05
0.66,0.55,-0.31,143.99,47.25,-98.21
0.74,0.53,-0.28,139.72,70.14,-83.44
0.72,0.81,-0.19,122.22,69.44,-75.60
0.70,0.99,-0.20,54.32,15.26,-70.77
1.18,1.02,0.09,-0.56,21.35,-57.96
1.68,1.48,-0.39,-45.08,127.33,-17.64
1.03,1.70,-0.52,-175.77,86.80,-74.27
0.62,1.53,-0.17,-87.64,104.58,-164.22
0.24,1.55,-0.04,54.25,127.96,-251.30
-0.22,1.40,-0.16,156.10,64.47,-256.83
-0.24,1.12,-0.13,164.50,17.43,-158.76
-0.02,1.01,0.00,114.73,39.41,-25.48
-0.03,1.00,-0.04,77.49,77.70,-26.11
-0.17,0.87,0.00,53.41,81.97,-34.16
-0.21,0.82,0.03,40.67,79.17,-37.10
-0.23,0.80,0.04,24.08,74.69,-43.68
-0.24,0.79,0.04,8.40,63.70,-49.84
-0.24,0.80,0.04,-0.70,50.05,-60.48
-0.20,0.83,0.03,-4.62,31.85,-75.95
-0.17,0.85,0.03,-2.24,11.13,-86.31
-0.11,0.88,0.00,2.24,7.28,-89.88
-0.07,0.90,-0.03,-1.61,8.96,-90.65
-0.05,0.95,-0.04,-15.82,19.74,-78.96
-0.10,0.94,0.02,-24.36,31.15,-76.51
-0.06,0.87,0.03,-21.98,32.20,-78.19
0.02,0.96,-0.05,-24.71,25.34,-71.89
0.03,1.02,-0.08,-31.50,12.88,-62.44
-0.03,1.02,-0.08,-30.52,10.08,-51.80
-0.12,1.00,-0.04,-19.18,9.38,-38.01
-0.11,1.06,-0.06,-7.77,13.02,-34.93
-0.12,1.04,-0.10,-0.56,15.82,-38.99
-0.16,0.97,-0.10,12.11,12.18,-35.98
-0.17,0.94,-0.08,18.83,15.54,-29.96
-0.23,0.91,-0.10,17.29,20.37,-23.45
-0.28,0.93,-0.19,17.92,11.97,-15.82
-0.25,0.95,-0.28,24.15,-4.83,-19.18
-0.29,0.94,-0.25,38.08,-25.13,-29.89
-0.32,1.00,-0.23,48.09,-29.82,-43.12
-0.34,0.96,-0.22,52.85,-19.88,-52.78
-0.30,0.89,-0.25,46.69,-1.75,-53.97
-0.29,0.90,-0.30,32.20,15.19,-47.04
-0.26,0.96,-0.34,11.20,25.13,-42.49
-0.27,1.03,-0.34,-3.64,28.70,-45.15
-0.35,1.04,-0.30,-39.27,37.94,-67.27
-0.28,1.07,-0.48,-0.63,8.96,-85.26
-0.23,1.00,-0.16,25.20,9.59,-95.20
-0.24,0.90,-0.14,28.49,26.32,-84.56
-0.16,0.93,-0.20,31.29,35.00,-66.92
-0.18,1.04,-0.22,22.68,42.35,-45.92
-0.15,1.22,-0.16,-0.98,57.61,-24.57
-0.12,1.24,-0.18,-13.93,57.61,-16.10
-0.10,1.18,-0.07,5.95,51.24,-13.86
-0.13,1.15,-0.02,42.91,41.72,-22.89
-0.13,1.15,-0.03,72.87,33.39,-44.03
-0.16,1.09,-0.02,89.25,26.53,-56.63
-0.16,1.05,-0.04,84.77,27.79,-62.37
-0.18,0.98,-0.14,67.20,28.35,-61.39
-0.19,0.93,-0.19,40.95,24.92,-56.07
-0.17,0.92,-0.21,-1.82,25.27,-46.55
-0.16,0.92,-0.23,-34.09,23.52,-38.85
-0.08,0.85,-0.13,-52.71,17.08,-17.29
-0.16,1.00,-0.16,-59.36,9.03,-12.46
0.02,1.03,-0.11,-53.48,4.41,-23.52
-0.05,1.04,-0.09,-29.40,-6.44,-54.46
-0.14,1.05,-0.08,0.70,-9.52,-75.60
-0.21,0.99,-0.06,42.28,-2.94,-86.66
-0.28,0.93,-0.09,64.12,3.01,-87.92
-0.35,0.85,-0.16,69.30,-16.52,-67.20
-0.41,0.78,-0.18,38.15,-8.75,-30.94
-0.27,0.90,-0.20,34.02,-7.70,-11.76
-0.33,0.88,-0.20,4.13,-5.46,5.67
-0.39,0.76,-0.17,-17.36,-11.69,30.80
-0.33,0.77,-0.17,-45.01,-17.15,55.02
-0.31,0.83,-0.17,-62.23,-17.08,71.82
-0.31,0.86,-0.18,-65.03,-16.03,76.23
-0.34,0.87,-0.21,-55.93,-15.82,73.85
-0.38,0.85,-0.25,-44.59,-14.77,72.45
-0.39,0.86,-0.28,-37.17,-14.28,69.51
-0.38,0.85,-0.28,-34.37,-13.72,67.13
-0.40,0.86,-0.27,-32.20,-15.33,61.25
-0.41,0.86,-0.24,-27.30,-16.38,51.94
-0.40,0.87,-0.22,-19.04,-17.50,44.45
-0.39,0.90,-0.21,-11.97,-13.37,38.36
-0.32,0.97,-0.25,-19.81,-11.83,25.90
-0.35,0.93,-0.18,-26.25,-11.48,27.44
-0.40,0.92,-0.11,-23.03,0.00,37.38
-0.36,0.98,-0.15,-11.76,11.34,33.46
-0.37,0.96,-0.22,-6.72,14.63,34.86
-0.40,0.97,-0.22,1.33,18.34,33.81
-0.39,0.99,-0.25,9.24,23.80,35.91
-0.38,1.00,-0.27,10.57,33.39,39.90
-0.44,1.00,-0.26,9.31,47.67,48.93
-0.53,1.04,-0.31,1.89,89.46,57.47
-0.42,1.09,-0.34,31.57,125.09,52.15
-0.57,0.97,-0.30,101.01,152.18,48.58
-0.29,0.98,-0.39,134.19,173.81,57.40
-0.51,1.06,-0.39,111.86,174.72,79.38
-0.15,0.83,-0.02,106.75,224.07,142.59
