Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.99,0.34,0.17,62.51,106.33,-58.59
-1.02,0.32,0.12,41.02,91.84,-62.02
-1.00,0.20,0.12,24.78,87.29,-61.53
-1.03,0.22,0.19,3.57,94.29,-56.21
-1.05,0.21,0.21,-11.62,91.77,-47.81
-0.95,0.24,0.22,-39.97,88.69,-35.49
-0.88,0.26,0.21,-57.75,91.07,-20.72
-0.89,0.26,0.19,-71.75,88.27,-12.25
-0.84,0.23,0.18,-67.06,85.54,-6.09
-0.85,0.27,0.17,-63.28,77.35,-2.10
-0.81,0.22,0.18,-50.75,63.63,-2.10
-0.77,0.17,0.21,-43.82,62.72,10.08
-0.79,0.08,0.21,-29.54,62.23,15.40
-0.69,-0.01,0.23,-20.30,66.08,15.05
-0.59,-0.04,0.25,-10.43,82.74,20.23
-0.52,-0.15,0.16,-5.74,110.11,28.28
-0.63,-0.05,0.24,6.79,122.29,24.85
-0.97,-0.11,0.17,4.20,96.60,17.85
-1.01,0.09,0.29,-5.32,92.75,11.62
-1.05,0.13,0.22,2.17,88.34,14.28
-1.04,0.13,0.22,20.09,82.81,16.45
-1.04,0.19,0.21,52.29,70.00,8.96
-0.99,0.19,0.19,62.72,63.21,6.23
-0.95,0.20,0.14,57.05,63.77,0.77
-0.99,0.17,0.12,59.43,60.83,-4.62
-1.03,0.18,0.18,59.99,62.02,-13.02
-1.08,0.10,0.15,61.81,61.04,-20.16
-1.13,0.15,0.19,57.96,50.61,-26.53
-1.18,0.14,0.22,56.35,42.00,-30.45
-1.20,0.04,0.16,46.34,40.32,-26.18
-1.31,0.13,0.15,46.41,42.98,-26.67
-1.40,0.03,0.07,56.56,43.05,-24.01
-1.50,0.16,0.02,47.81,39.76,-31.99
-1.63,0.08,-0.06,61.53,22.82,-35.91
-1.75,0.05,-0.13,79.66,-1.40,-42.35
-1.77,0.09,-0.19,87.43,-22.68,-34.72
-1.88,0.19,-0.15,63.70,-33.81,-25.13
-1.91,0.28,-0.05,6.79,-24.29,-28.35
-1.87,0.21,0.08,-18.97,-11.13,-38.78
-1.83,0.02,0.17,-23.03,-27.23,-41.93
-1.67,-0.19,0.20,-15.96,-68.04,-43.61
-1.51,-0.39,0.20,22.33,-109.41,-58.31
-1.42,-0.48,0.18,50.61,-144.13,-74.41
-1.40,-0.50,0.20,77.14,-175.84,-72.66
-1.41,-0.11,0.26,67.34,-175.49,-74.76
-1.49,0.07,0.31,64.75,-174.72,-64.40
-1.27,0.08,0.26,60.55,-136.57,-28.14
-1.35,0.12,0.22,108.29,-124.46,-1.19
-1.22,0.09,0.21,146.09,-129.08,69.16
-1.26,0.45,0.16,165.76,-145.67,97.30
-1.17,0.67,0.21,105.21,-169.19,124.53
-1.16,0.67,-0.02,21.28,-163.03,137.41
-1.07,0.64,-0.30,-19.25,-158.34,133.98
-1.15,0.80,-0.44,-11.55,-165.48,130.13
-1.15,0.73,-0.54,-39.83,-160.72,118.09
-1.11,0.68,-0.49,-129.50,-163.03,106.96
-1.20,0.43,-0.40,-238.07,-165.27,113.89
-1.00,0.37,-0.37,-255.78,-182.77,90.09
-0.95,-0.14,-0.14,-255.08,-186.83,84.35
-0.66,-0.22,0.17,-219.52,-194.60,66.92
-0.50,-0.29,0.67,-183.12,-183.54,41.79
-0.39,-0.43,0.74,-151.27,-198.94,41.79
-0.64,-0.43,0.69,-163.31,-199.57,33.53
-0.72,-0.41,0.36,-192.99,-182.42,21.07
-0.64,-0.45,0.06,-177.87,-164.01,21.77
-0.65,-0.12,0.13,-105.14,-146.72,13.16
-0.43,-0.03,0.28,-36.68,-149.17,26.67
-0.53,0.15,0.31,-13.51,-139.09,15.68
-0.45,0.15,0.29,-7.98,-150.99,28.77
-0.71,0.46,0.37,-47.25,-134.75,-3.01
-0.46,0.01,0.30,-77.77,-142.52,3.85
-0.29,-0.24,0.26,-82.39,-137.62,9.80
-0.27,-0.07,0.30,-73.22,-125.44,8.40
-0.35,0.35,0.44,-72.31,-100.10,-17.50
-0.06,-0.15,0.27,-66.50,-97.23,-0.84
-0.10,-0.02,0.38,-50.75,-81.13,-8.40
-0.09,0.01,0.39,-53.41,-65.17,-7.98
-0.04,0.02,0.42,-50.40,-45.36,-18.41
0.07,-0.16,0.30,-50.75,-26.04,-7.70
0.04,-0.14,0.30,-37.87,-8.82,-6.51
0.05,-0.15,0.40,-17.85,12.81,-2.24
0.02,-0.19,0.51,3.36,49.00,6.44
0.04,-0.20,0.64,33.18,56.21,18.41
0.02,-0.17,0.77,59.36,81.13,27.37
0.10,-0.08,0.89,98.98,92.47,40.11
-0.12,0.13,1.06,158.34,126.14,43.61
-0.14,0.03,1.11,214.62,70.00,29.75
-0.66,0.23,1.10,208.11,39.48,-11.62
-1.43,0.10,0.45,187.04,41.16,-5.53
-1.72,0.24,1.58,88.48,79.45,25.97
-1.66,0.25,1.56,28.77,70.00,38.36
-2.12,0.69,1.07,40.04,71.47,42.07
-1.95,0.83,1.02,16.03,116.48,48.79
-1.23,0.16,0.47,-38.92,67.06,34.02
-0.30,-0.18,0.19,0.07,112.63,28.77
-0.50,-0.13,0.40,10.43,104.23,17.71
-0.67,-0.19,0.71,6.58,103.67,-3.15
-0.81,-0.18,0.51,15.68,99.82,-23.94
-0.89,-0.15,0.33,20.02,112.91,-37.80
-0.93,-0.08,0.35,38.85,115.50,-50.96
-0.95,0.08,0.49,48.51,120.05,-58.17
-1.00,0.20,0.40,48.30,125.72,-59.85
-1.04,0.24,0.33,46.69,122.08,-60.06
-0.99,0.22,0.33,51.03,119.00,-62.44
-0.94,0.26,0.36,48.51,119.07,-58.17
-0.92,0.21,0.33,47.18,117.60,-57.19
-0.84,0.08,0.34,59.15,141.96,-54.25
-0.74,0.09,0.36,66.43,136.22,-48.79
-0.72,0.23,0.35,53.41,134.26,-36.19
-0.79,0.25,0.35,46.06,132.09,-39.76
-0.87,0.34,0.30,45.29,126.14,-52.78
-0.90,0.17,0.30,88.20,131.11,-52.85
-0.80,0.27,0.24,108.50,123.06,-60.55
-0.73,0.37,0.14,101.99,107.52,-79.59
-0.71,0.26,0.04,69.30,92.33,-76.37
-0.96,0.26,0.07,33.04,84.14,-79.66
-1.17,0.25,0.20,-4.76,91.00,-53.83
-1.32,0.38,0.31,-27.65,110.04,-37.10
-1.15,0.36,0.23,-48.37,104.65,-26.11
-0.99,0.26,0.22,-66.57,92.68,-23.59
-0.91,0.09,0.22,-82.04,84.84,-15.47
-0.87,0.14,0.22,-92.33,82.39,-2.10
-0.82,0.13,0.19,-100.87,94.22,15.12
-0.82,0.11,0.15,-96.18,92.05,15.82
-0.77,-0.02,0.11,-87.22,84.70,16.94
-0.65,-0.05,0.21,-38.99,83.51,21.49
-0.56,0.03,0.18,-21.98,97.65,33.74
-0.64,0.03,0.18,7.91,106.12,25.97
-0.64,-0.17,0.25,35.07,115.08,29.54
-0.68,-0.19,0.26,52.78,135.80,28.35
-0.86,-0.19,0.21,21.42,146.44,23.73
-1.04,-0.11,0.20,-7.84,147.98,17.71
-1.29,0.10,0.20,-14.28,128.66,16.87
-1.27,0.13,0.23,-2.38,108.78,7.42
-1.16,0.20,0.16,24.85,96.18,-5.39
-1.11,0.17,0.14,40.25,74.69,-14.63
-1.07,0.14,0.16,51.66,41.58,-24.78
-1.08,0.17,0.15,60.27,44.31,-32.06
-1.16,0.16,0.11,60.41,43.54,-36.05
-1.35,0.27,0.06,57.89,42.14,-34.30
-1.56,0.22,0.05,34.02,43.26,-25.27
-1.72,0.28,0.10,29.26,47.39,-32.69
-1.75,0.00,-0.04,20.09,8.05,-20.16
-1.94,0.23,-0.05,29.40,-15.82,-50.05
-1.96,0.08,-0.08,16.24,-40.95,-57.82
-1.95,-0.07,0.14,-4.97,-45.15,-57.68
-2.03,-0.28,0.16,2.94,-45.99,-47.32
-1.96,-0.39,0.17,24.36,-59.36,-38.64
-1.74,-0.46,0.08,52.01,-96.88,-37.80
-1.47,-0.46,0.05,70.56,-145.60,-49.84
-1.26,-0.43,0.07,69.09,-167.72,-57.47
-1.25,-0.26,0.11,50.82,-183.47,-65.80
-1.38,-0.11,0.25,55.86,-190.26,-58.66
-1.40,0.01,0.24,59.22,-176.47,-27.93
-1.38,0.16,0.48,113.82,-160.09,21.21
-1.53,0.30,0.39,146.93,-173.95,69.02
-1.29,0.35,0.27,122.36,-213.78,102.55
-0.98,0.47,0.28,47.18,-196.49,143.99
-0.94,0.65,-0.21,-0.98,-173.25,156.73
-1.28,0.50,-0.28,-6.79,-192.64,152.67
-1.26,0.77,-0.35,-65.52,-156.73,169.12
-1.39,0.81,-0.70,-107.45,-137.06,142.38
-1.43,0.63,-0.96,-217.35,-159.39,148.12
-1.13,0.32,-0.75,-258.16,-202.37,113.33
-0.96,-0.25,-0.12,-269.50,-202.65,95.06
-0.53,-0.33,0.47,-217.91,-205.45,75.11
-0.45,-0.36,0.92,-141.75,-209.30,54.32
-0.47,-0.34,0.79,-147.91,-232.61,25.41
-0.62,-0.77,0.29,-211.19,-218.75,-5.95
-0.56,-0.88,-0.15,-219.94,-199.01,-12.46
-0.48,-0.61,-0.02,-176.61,-184.03,-16.80
-0.52,-0.33,0.18,-106.75,-174.93,-24.78
-0.49,-0.06,0.36,-33.25,-172.76,-20.30
-0.53,0.16,0.34,-2.24,-164.99,-17.92
-0.52,0.19,0.27,-7.63,-167.51,-10.36
-0.57,0.28,0.29,-45.57,-147.28,-27.86
-0.39,0.01,0.23,-53.83,-142.73,-25.20
-0.22,-0.12,0.28,-43.12,-138.53,-16.17
-0.25,0.04,0.34,-42.84,-108.50,-24.29
-0.11,-0.09,0.30,-38.92,-99.96,-8.82
-0.11,0.09,0.35,-33.32,-80.43,-14.07
-0.14,0.13,0.38,-29.75,-62.16,-14.84
-0.08,0.04,0.38,-40.25,-43.61,-14.63
0.00,-0.24,0.40,-31.50,-24.64,-8.33
0.06,-0.21,0.38,-21.49,-3.36,-2.94
0.13,-0.32,0.43,2.94,14.98,5.11
0.04,-0.23,0.60,24.43,39.76,19.39
0.09,-0.33,0.73,51.59,55.72,34.16
0.04,-0.11,0.94,81.69,77.91,43.96
-0.11,0.10,1.05,148.12,122.71,51.03
0.12,0.01,0.81,205.31,143.01,56.28
-0.40,0.31,0.77,237.86,89.11,21.07
-1.09,0.46,0.73,176.89,53.97,-3.01
-1.52,-0.21,0.79,111.44,65.24,1.33
-1.89,0.01,2.03,50.05,75.53,12.88
-1.90,0.38,1.04,17.71,66.78,17.71
-1.68,0.60,0.77,62.44,98.07,39.27
-1.36,0.43,0.73,5.95,107.59,26.25
-1.09,0.14,0.45,-24.22,72.73,24.36
-0.44,0.02,0.38,-3.85,110.11,12.95
-0.62,-0.08,0.48,2.59,95.06,6.37
-0.68,-0.16,0.64,13.37,105.84,-12.11
-0.84,-0.23,0.44,27.86,113.96,-22.33
-0.88,-0.18,0.30,42.98,116.06,-35.91
-0.83,-0.05,0.38,61.81,120.61,-43.61
-0.87,0.10,0.37,63.77,123.34,-46.48
-0.95,0.25,0.37,64.82,124.67,-48.09
-1.01,0.32,0.33,61.04,122.57,-48.02
-1.01,0.32,0.35,63.28,120.61,-49.56
-0.99,0.28,0.37,71.54,122.08,-52.92
-0.92,0.24,0.35,69.30,127.75,-53.62
-0.84,0.16,0.36,68.53,135.17,-50.05
-0.77,0.22,0.33,39.48,133.42,-46.97
-0.79,0.18,0.31,38.29,123.83,-48.02
-0.89,0.11,0.29,51.03,116.48,-58.31
-0.90,0.05,0.32,63.63,117.46,-59.50
-0.82,0.16,0.27,85.96,110.88,-63.56
-0.65,0.16,0.27,101.57,98.35,-79.59
-0.72,0.19,0.24,82.04,88.06,-77.07
-0.87,0.25,0.21,47.67,76.79,-73.57
-1.07,0.22,0.25,21.56,78.19,-62.44
-1.32,0.33,0.40,-10.50,84.91,-53.27
-1.29,0.34,0.25,-39.13,74.62,-42.63
-0.95,0.36,0.23,-76.09,66.22,-37.73
-0.87,0.24,0.24,-91.07,64.75,-32.41
-0.88,0.14,0.27,-93.10,64.89,-10.01
-0.85,0.21,0.23,-83.16,74.20,8.33
-0.82,0.24,0.18,-70.70,80.08,23.38
-0.82,0.25,0.13,-67.48,78.40,21.70
-0.83,0.06,0.19,-48.79,69.09,17.71
-0.82,0.08,0.31,-35.91,76.51,24.08
-0.86,0.02,0.31,-15.12,87.92,29.68
-0.82,-0.04,0.32,14.07,102.69,36.68
-0.71,-0.08,0.28,45.64,129.64,42.14
-0.83,-0.15,0.22,31.99,140.84,34.72
-1.11,-0.08,0.14,-14.28,146.79,15.12
-1.31,-0.09,0.02,-38.29,127.82,8.26
-1.37,0.06,0.13,-35.77,102.55,-3.57
-1.25,0.16,0.22,-22.54,102.27,-9.94
-1.19,0.17,0.19,-9.45,85.33,-12.88
-1.26,0.26,0.46,18.55,78.47,-27.65
-1.42,0.21,0.48,18.06,73.64,-41.44
-1.52,0.06,0.45,20.79,67.69,-39.69
-1.55,-0.19,0.37,12.25,63.42,-38.01
-1.63,-0.17,0.38,25.13,51.87,-39.13
-1.71,-0.23,0.28,47.60,25.62,-41.37
-1.99,-0.09,0.24,65.94,2.80,-36.12
-2.01,-0.19,0.36,59.15,-26.25,-48.30
-2.01,-0.08,0.35,61.46,-44.03,-45.36
-1.77,-0.11,0.32,73.57,-72.73,-43.75
-1.41,-0.19,0.28,60.06,-96.95,-38.71
-1.35,-0.36,0.25,63.63,-113.89,-25.27
-1.36,-0.28,0.26,109.06,-133.91,-30.17
-1.45,-0.03,0.38,125.86,-162.61,-25.55
-1.27,0.08,0.31,127.54,-168.14,0.77
-0.98,0.00,0.09,122.29,-162.54,49.00
-1.26,0.41,-0.06,185.85,-180.95,96.25
-1.21,0.43,0.00,200.06,-195.23,155.19
-1.10,0.72,-0.12,133.28,-157.22,171.71
-1.44,0.98,-0.31,-39.97,-200.34,173.95
-1.17,0.97,0.30,-151.76,-240.80,162.82
-1.08,0.38,-0.08,-211.75,-210.07,161.49
-1.29,-0.07,-1.00,-244.51,-209.02,143.22
-1.31,-0.20,-1.02,-353.22,-239.89,144.97
-1.05,-0.01,-0.19,-335.93,-253.12,93.80
-0.99,-0.16,0.49,-252.70,-249.41,52.36
-1.03,-0.05,0.87,-163.73,-266.42,29.47
-1.03,-0.21,0.73,-173.74,-275.31,18.48
-1.09,-0.54,0.18,-228.20,-227.64,3.57
-0.90,-0.52,-0.12,-214.27,-203.07,-4.97
-0.76,-0.33,0.24,-166.39,-204.19,-13.65
-0.81,-0.15,0.55,-99.05,-205.10,-16.52
-0.86,-0.02,0.69,-37.31,-179.34,-19.18
-0.92,0.05,0.61,-27.37,-164.22,-14.84
-0.91,-0.05,0.55,-45.78,-143.71,-14.00
-0.77,0.03,0.54,-47.25,-110.88,-22.89
-0.43,-0.36,0.50,-28.84,-89.95,-14.00
-0.34,-0.01,0.49,-11.13,-53.13,-3.71
-0.36,0.18,0.41,-17.71,-15.40,-1.96
-0.37,0.14,0.34,-33.04,15.19,8.96
-0.35,0.00,0.37,-28.63,45.78,22.82
0.09,-0.27,0.46,-27.02,68.60,21.28
-0.01,-0.04,0.61,29.89,94.57,24.71
0.11,-0.15,0.47,39.34,100.59,19.88
0.11,0.03,0.26,72.45,123.62,25.34
0.21,0.15,-0.03,147.63,145.18,30.03
0.30,0.22,-0.43,168.07,165.27,29.75
0.38,-0.13,-0.62,177.10,189.63,24.50
0.58,-0.25,-0.81,217.28,242.62,27.72
0.65,-0.02,-0.56,274.89,266.49,40.95
-0.10,0.23,0.00,197.75,204.61,15.47
-0.95,-0.26,0.47,73.01,5.32,-68.04
-0.95,-0.45,2.07,166.18,-33.67,-50.05
-2.96,0.24,1.41,157.57,125.79,-33.95
-4.50,1.61,0.34,138.74,155.54,50.26
-2.88,1.48,-0.47,-20.23,72.66,17.71
-0.68,-0.27,0.27,25.06,34.86,1.19
0.75,-0.40,0.73,77.28,67.69,-32.76
1.08,-0.63,0.52,75.74,93.52,-57.82
0.09,-0.59,0.36,105.63,67.69,-85.12
-0.36,-0.38,0.34,111.16,57.33,-105.00
-0.59,-0.01,0.33,105.63,67.90,-103.74
-0.91,0.25,0.20,85.89,85.96,-103.53
-1.09,0.41,0.24,86.94,94.64,-75.46
-1.41,0.95,-0.18,58.73,94.99,-51.87
-1.73,1.13,-0.06,30.45,50.19,-58.38
-2.08,1.06,0.58,10.29,42.35,-65.10
-1.93,0.65,0.70,25.55,79.38,-52.15
-1.60,0.49,0.40,11.69,100.52,-32.27
-1.18,0.34,0.19,-20.23,103.74,-22.40
-1.16,0.39,0.16,-48.51,112.28,-36.68
-1.32,0.34,0.24,-91.84,123.55,-48.93
-1.46,-0.05,0.13,-88.55,116.62,-48.44
-1.38,0.06,0.11,-92.89,120.82,-52.15
-1.46,0.10,0.04,-122.57,156.52,-44.45
-1.61,-0.12,0.15,-90.30,176.26,-38.22
-1.53,-0.04,0.40,-28.77,194.74,-7.35
-1.64,-0.01,0.34,12.88,211.54,-0.35
-1.62,-0.07,0.58,39.27,195.09,2.59
-1.56,-0.04,0.73,14.77,202.02,-4.62
-1.54,-0.18,0.80,-9.94,178.36,-34.44
-1.54,-0.47,0.85,20.37,98.84,-53.76
-1.34,-0.48,0.77,90.23,71.19,-49.28
-1.32,0.05,0.71,70.84,43.61,-53.27
-1.18,-0.07,0.78,48.09,13.86,-54.53
-0.90,-0.30,0.77,43.68,-20.44,-37.80
-0.71,-0.54,0.59,75.95,-50.33,-31.43
-0.82,-0.20,0.44,88.62,-96.46,-31.57
-0.66,-0.04,0.47,101.43,-136.08,-37.73
-0.59,0.12,0.38,128.03,-144.69,-4.76
-0.72,0.47,0.24,160.86,-147.00,48.16
-0.95,0.67,0.16,170.45,-153.23,97.37
-0.95,0.48,0.17,207.27,-149.03,128.45
-0.98,0.67,0.06,188.37,-139.23,178.01
-1.37,0.78,-0.03,80.71,-134.82,188.86
-1.63,0.92,-0.37,-30.52,-142.45,210.98
-1.51,1.02,-0.46,-112.91,-158.55,178.15
-1.48,0.54,-0.31,-177.80,-172.62,151.69
-1.60,-0.02,-0.26,-226.10,-176.82,143.85
-1.47,-0.25,-0.60,-247.10,-184.45,126.07
-1.28,-0.27,-0.82,-283.71,-232.54,108.85
-1.02,-0.41,-0.38,-324.31,-265.23,93.03
-0.85,-0.68,0.46,-264.39,-285.67,62.16
-0.90,-0.70,1.36,-155.61,-289.80,27.58
-1.32,-0.48,1.28,-130.90,-273.14,16.17
-1.31,-0.48,0.36,-187.81,-236.95,1.33
-1.09,-0.27,0.03,-137.20,-207.83,-3.71
-1.02,0.19,0.26,-77.07,-206.29,-1.12
-1.09,0.32,0.58,-32.06,-213.01,8.75
-1.04,0.31,0.74,-19.67,-198.45,2.17
-1.09,0.33,0.68,-22.05,-178.92,-29.89
-0.66,0.20,0.58,-56.56,-152.04,-38.92
-0.29,0.10,0.49,-91.14,-125.79,-44.31
-0.04,0.20,0.51,-92.68,-98.00,-52.92
-0.10,0.31,0.51,-95.20,-71.05,-68.46
-0.16,0.15,0.40,-90.16,-38.08,-63.21
-0.25,-0.02,0.35,-75.95,2.80,-41.79
-0.10,-0.28,0.35,-68.25,45.92,-24.15
-0.05,-0.18,0.45,-20.02,78.82,-15.89
-0.04,-0.32,0.64,29.68,105.07,-4.20
-0.05,-0.18,0.59,66.22,116.83,0.07
0.07,-0.01,0.38,108.43,126.07,2.24
0.23,0.07,-0.14,163.66,153.58,3.57
0.39,0.15,-0.65,211.47,180.95,5.88
0.50,-0.09,-0.77,236.74,198.52,11.76
0.59,0.10,0.03,267.75,207.55,34.30
-0.15,0.27,-0.03,167.16,182.91,20.44
-1.03,-0.50,0.99,119.63,-27.86,-28.49
-1.11,0.07,1.76,180.88,44.73,-12.25
-2.10,0.24,0.49,167.09,167.44,16.38
-3.58,1.15,-0.10,131.39,120.96,-6.16
-1.86,0.30,0.13,46.20,59.01,-0.07
-0.44,0.20,-0.03,7.70,74.69,-20.09
0.22,-0.28,0.48,49.77,82.53,-43.82
0.25,-0.26,0.81,106.05,85.82,-62.02
-0.35,-0.14,0.45,108.15,94.99,-87.71
-0.67,-0.08,0.18,102.55,83.65,-116.69
-0.90,0.03,0.23,91.98,70.70,-122.22
-1.05,0.13,0.32,74.27,78.12,-93.31
-1.21,0.36,0.26,83.02,70.63,-76.02
-1.20,0.70,0.28,96.04,57.82,-85.82
-1.15,0.76,0.26,77.63,55.51,-94.99
-1.24,0.61,0.25,52.15,53.97,-95.34
-1.32,0.31,0.16,28.42,53.97,-74.69
-1.40,0.37,0.23,21.70,69.72,-66.50
-1.34,0.28,0.36,12.18,71.96,-33.25
-1.36,0.44,0.49,25.41,87.99,-20.86
-1.27,0.46,0.41,21.49,84.49,-22.05
-1.24,0.35,0.33,0.77,68.60,-28.00
-1.26,0.24,0.38,-21.21,50.05,-35.14
-1.19,0.06,0.41,-33.67,46.34,-27.30
-1.14,0.17,0.40,-57.61,61.60,-8.75
-1.09,-0.08,0.29,-33.18,60.62,-9.52
-0.95,0.01,0.24,-21.35,76.72,-5.88
-0.98,-0.05,0.20,-19.04,82.81,-2.17
-0.92,0.09,0.22,-24.01,88.48,-9.10
-0.91,0.03,0.20,-22.47,106.12,0.00
-1.05,0.07,0.14,-15.89,110.18,-11.34
-1.04,0.01,0.09,12.60,108.57,-12.46
-1.06,0.11,0.17,23.45,111.02,-16.03
-1.05,0.06,0.14,41.09,115.43,-8.89
-0.99,0.15,0.16,55.02,118.86,-15.19
-1.00,0.19,0.24,59.15,118.51,-30.94
-1.08,0.11,0.30,78.19,123.90,-38.01
-1.15,0.17,0.29,78.12,127.68,-51.66
-1.19,-0.17,0.32,68.04,122.99,-57.75
-1.20,-0.15,0.31,56.21,113.05,-57.89
-1.13,-0.42,0.28,76.93,105.70,-63.84
-1.18,-0.35,0.29,78.19,99.19,-58.94
-1.23,-0.34,0.22,82.60,90.51,-51.03
-1.21,-0.16,0.24,79.80,74.90,-44.73
-1.11,-0.03,0.28,93.80,67.34,-41.51
-1.14,0.09,0.24,103.18,57.12,-35.07
-1.16,0.11,0.02,126.35,54.88,-29.89
-1.11,0.08,0.08,136.50,52.01,-33.53
-1.14,0.00,0.15,127.96,44.66,-32.06
-1.20,-0.12,0.21,103.53,39.13,-23.31
-1.18,-0.12,0.16,92.40,33.04,-21.70
-1.27,0.00,0.08,79.59,11.97,-22.47
-1.39,0.17,-0.04,68.25,-26.53,-20.93
-1.29,0.32,0.00,60.27,-68.25,-10.71
-1.15,0.30,0.01,79.24,-88.27,-3.71
-0.95,0.22,0.03,78.96,-121.10,-2.80
-0.94,0.15,0.14,74.55,-131.95,-25.76
-0.92,-0.16,0.11,74.83,-122.57,-36.61
-1.00,-0.36,0.07,100.80,-112.07,-29.19
-1.00,-0.46,0.05,131.60,-93.66,-2.24
-1.11,-0.53,-0.07,146.58,-74.55,10.50
-0.99,-0.47,-0.05,115.15,-60.20,48.93
-0.96,-0.44,-0.29,110.88,-43.68,39.34
-0.85,-0.48,-0.28,156.94,-37.03,65.87
-1.14,-0.10,-0.22,187.11,-45.71,97.02
-1.44,0.14,-0.12,149.87,-59.08,97.09
-1.45,0.28,-0.09,67.06,-63.70,86.45
-1.26,0.16,-0.35,-10.71,-75.95,79.24
-1.15,-0.10,-0.51,-107.45,-95.69,74.97
-1.00,-0.32,-0.40,-138.81,-127.12,70.49
-0.90,-0.38,-0.12,-117.53,-149.87,52.64
-1.05,-0.29,0.51,-72.59,-167.30,49.07
-1.18,0.02,0.84,-1.33,-161.35,39.55
